w,op_cost,scheduling,vacancy,total_lack,pred_success_rate,success_count,real_success_rate,time_s
0.0,75646.49626254608,23931.0,51715.496262546076,864.9522695844257,0.8005050505050505,634,0.9587504006081791,121.40931105613708
0.05,312070.1907592032,7467.0,304603.1907592032,6229.621711478708,0.7901212193345624,315,0.5523051429394827,85.56347632408142
0.1,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,76.0729877948761
0.15000000000000002,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,137.74734377861023
0.2,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,105.12104082107544
0.25,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,135.88837099075317
0.30000000000000004,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,93.59996223449707
0.35000000000000003,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,137.38796138763428
0.4,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,69.5837721824646
0.45,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,34.40874481201172
0.5,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,34.15769934654236
0.55,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,34.61243987083435
0.6000000000000001,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,35.98277688026428
0.65,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,34.13361144065857
0.7000000000000001,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,34.26773023605347
0.75,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,59.02590727806091
0.8,265992.9775209684,7697.0,258295.9775209684,5829.846877367459,0.7901372192061772,313,0.5832358209548512,137.88002109527588
0.8500000000000001,265993.1900902116,7697.0,258296.1900902116,5830.453161989052,0.7901292951783683,312,0.5832358209548512,35.036344051361084
0.9,265993.1900902116,7697.0,258296.1900902116,5830.453161989052,0.7901292951783683,312,0.5832358209548512,36.34960103034973
0.9500000000000001,265993.1900902116,7697.0,258296.1900902116,5830.453161989052,0.7901292951783683,312,0.5832358209548512,33.83615565299988
1.0,265993.36217243224,7697.0,258296.36217243221,5831.539203099365,0.7901160432849004,310,0.5832345787589469,33.75198411941528
